time,position_x,velocity_x,position_y,velocity_y,angular_velocity_z
1508.15,0.42984945558488785,-0.18578351930186143,1.1818477535628371,0.0,0.042487819733019905
1508.25,0.4465949037515476,-0.22624507755891637,1.1792419031622874,0.0,0.050663315212330855
1508.35,0.4893665669382865,-0.47263996084650356,1.1721913154336592,0.0,0.013624193927728939
1508.45,0.5373246245207418,-0.48785304696665593,1.163457470029702,0.0,-0.047517664078126506
1508.55,0.5845519041327518,-0.4801577961696699,1.1542588855168512,0.0,-0.0946806616134593
1508.65,0.6313339066724405,-0.483041931982498,1.1446923607984616,0.0,-0.11536360787120827
1508.75,0.6799679228485829,-0.4987627763723163,1.1353355064381387,0.0,-0.0639037471246165
1508.85,0.7290941068196132,-0.5013927388458345,1.126224076077952,0.0,-0.001192224134408693
1508.95,0.7778771157179046,-0.4969168631471933,1.1174676131687415,0.0,0.048048602556415895
1509.05,0.8266843548424323,-0.4966728715693093,1.1090848081234397,0.0,0.08320496460677852
1509.15,0.8755989464133416,-0.49764130974397597,1.1012786098509497,0.0,0.11172780047141233
1509.25,0.9244897726573073,-0.4959644824314213,1.093800829547328,0.0,0.11374330466851688
1509.35,0.9735356575863754,-0.4983832633631175,1.085916156856036,0.0,0.06537324398897273
1509.45,1.0213891557377344,-0.4782987913424728,1.0774663441490393,0.0,-0.01919678996484793
1509.55,1.065561504767809,-0.4440503792462922,1.0687789629085978,0.0,-0.10718982916939689
1509.65,1.1064675968345223,-0.41397628004285103,1.0598338878925497,0.0,-0.1831982250899284
1509.75,1.1446151816073813,-0.38692496566023266,1.0503914777014476,0.0,-0.25047378166168616
1509.85,1.1802584591705267,-0.36543616991312794,1.0404797406536979,0.0,-0.299088840139763
1509.95,1.2151631160546863,-0.3655105913724694,1.029757304468663,0.0,-0.32277425211887173
1510.05,1.2501341329238083,-0.36926852627998924,1.0178187500444542,0.0,-0.3342487070410804
1510.15,1.2858524098208421,-0.3914370924787616,1.004495167648802,0.0,-0.3254724286106227
1510.25,1.3279188392942807,-0.4652342690237779,0.9884429878674497,0.0,-0.24846527526595588
1510.35,1.3737842590766336,-0.4954819718568855,0.9707125797551233,0.0,-0.14735443922015012
1510.45,1.4199730331123532,-0.49793459300281706,0.9524970510532254,0.0,-0.07350070919534046
1510.55,1.4662706439823552,-0.49859459584304794,0.9341654399615418,0.0,-0.019016756796997727
1510.65,1.5126158785711625,-0.49989645335825283,0.9159756539051652,0.0,0.02440244705732632
1510.75,1.5585482575679455,-0.4824355102247424,0.8987946977915716,0.0,0.0856785138090127
1510.85,1.5997437858011458,-0.4245102664746316,0.8848890869763026,0.0,0.17677938134675816
1510.95,1.6404961627453905,-0.4317200069355759,0.8720052548281114,0.0,0.2321659713126369
1511.05,1.6823493828299918,-0.43711411810392065,0.859612350814511,0.0,0.25496372517715604
1511.15,1.7242134614047397,-0.43243987608604506,0.8483308408591003,0.0,0.26604092702499404
1511.25,1.7658324967502361,-0.42603140554874425,0.8383818161583976,0.0,0.2781437004299118
1511.35,1.807389930121392,-0.4241074357269451,0.8297642330828919,0.0,0.29080518136685335
1511.45,1.849657444127466,-0.43221842045597236,0.8221946702748717,0.0,0.29299994557122644
1511.55,1.8929132336555479,-0.43852457107104836,0.8156478160488863,0.0,0.28843078774271824
